Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025/3/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.257481579,0.022223496,5.164059022,-8.743224624,7.931704957,6.296188834,14.79196345,-5.769584381,11.8277158,0.510309049,2.963254932,4.402019652,61.40578328,44.5427169,80.5697564,-17.63041929,-3.210155929,25.61888559,12.56450599,17.55506709,9.894690312,9.855812463,8.487755878,7.875566349,18.4951157,8.254404894,11.11963117,7.495835297,8.33797325,6.532735292,2.729531995,2.5821619,0.155518173,3.966216316,7.144938703,19.14321311,3.800232201,4.736212562,3.781037737,3.446659349,3.261160132,3.892867435,5.815816648,4.56213638,4.586360706,5.875935811,6.471260105,7.860966094,6.764354681,7.144663028,7.859450853,8.164573676,7.174953432,5.668788525,5.872777041,27.85073772,5.047597582,5.805538767,3.658137552,3.841063386,4.121174707,5.049021879,6.89712404
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,2.820938368,1.916472805,-0.64527173,2.736748496,0.229177128,1.345489615,0.0638388,-5.389743837,6.729684134,26.18800066,226.5378599,59.57864939,51.0910539,72.70496824,135.955619,62.96624518,913.2130964,33.95103007,3.31913809,7.380838851,6.117732374,3.848378692,2.189410827,5.58155792,6.594258974,6.756474901,11.05143168,8.103456195,3.938018362,0.764129879,6.11283036,1.112178853,0.07195181,1.340782874,2.947746487,3.323559204,4.813121312,4.255257298,5.235487048,4.341038624,6.966624339,15.91835969,7.984199243
Bahrain,BHR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,5.799648574,5.211399752,13.9800997,24.68541636,15.90579938,10.32237187,11.29760305,7.687121282,13.51222783,24.15808159,18.91176502,13.72399414,-3.689967138,-0.418480087,-1.824994533,-17.39265031,0.659048459,2.009427714,3.97466041,4.826695552,-1.882524002,-3.532652872,-3.025814768,7.331187444,1.090670175,0.196720001,0.931716359,-7.057411078,2.65643644,14.32252339,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,12.0069507,9.485963251,2.933947256,0.499828956,-1.440436835,-8.756673402,0.357247778,4.615834214,4.212713526,0.164802199,-5.828848464,9.208402636,7.849294621,-4.143751658
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.160601279,1.089632543,1.343764173,1.505301052,2.011727746,3.77131854,4.713072538,5.163480796,8.925372801,6.145345656,4.582551579,6.786658901,5.551023477,13.23270698,10.65637827,2.389665267,1.728703038,2.247883771,8.554096537,10.00686562,17.68832771,3.695007549,5.976967024,3.171435459,8.460727152,4.660387024,6.586347658,1.484310642,1.813171329,5.073711047,2.556539888,3.905565437,-0.851983748,2.183366578,0.802435337,0.984243641,73.22947024,3.048921327,4.950938924,0.922707425,0.353150705,3.960474325,1.154879054,1.194997591,5.056008398,0.828194507,2.947965812,1.488610688,-1.036380314,-0.392565566,-0.858605323,3.355532525,-0.169413674,3.648171363,5.308932146,1.604489756,1.34831042,0.456170832,4.593407872,-2.63480302,-1.071837447,4.301046158,6.344420145
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.47240776,1362.028784,7544.813682,49.11826756,13.38244635,1.639633915,11.14929395,-2.439694674,8.43332374,30.33259303,4.726117616,5.007866373,1.41086148,2.161971578,6.189015768,7.80012736,6.197569391,7.335351286,0.185466529,1.406293966,2.432527908,0.795773347,-0.224122003,1.000337219,1.365730709,1.333305967,1.778707027,2.791624904,2.471504685,0.06214255,4.964604416,11.80884011,6.762704356
Belarus,BLR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767053,1030.776811,1058.714498,1945.748604,661.5040771,53.71432735,71.64957473,76.58044645,316.7934348,185.2907609,79.53457245,44.89373884,30.68532156,22.6751225,18.97216053,10.74861574,12.87270223,21.21353614,9.258661904,11.34030988,70.76129097,75.24166665,21.26300025,18.19220244,16.02312772,8.341688099,8.622941967,12.1397171,8.576642215,11.87769757,15.32641964,14.88486237,7.368230536
Belize,BLZ,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.763027046,1.356964506,0.93765931,2.136171106,5.610614223,5.773933706,3.122443665,1.679358127,0.215932315,7.369642366,5.063903617,-1.23523508,14.67627088,21.71062291,16.87729143,1.157484445,2.242495334,7.34918199,3.58543428,51.25065396,0.166294337,-4.576972245,7.786379475,8.610834636,-2.036385655,3.707284754,7.591888219,3.442337985,3.110706798,-0.029915989,-2.372103312,3.436689669,1.876108482,2.603836582,5.28170881,2.746031583,-1.520460776,2.437859855,-1.657022155,1.444287596,-1.921454605,0.691897819,-4.107503658,2.141748731,3.003444122,3.221451687,3.80629927,3.605574682,-2.518869066,2.248536857,4.916588761,0.74176453,1.920282881,1.114254089,-0.304580066,2.094279663,3.032910309,0.077728473,-0.117835406,-0.652000224,0.630768469,7.252447971,6.509701614
Bermuda,BMU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,0.939036548,0.976544491,1.270801439,0.461053048,1.461122982,2.60861104,3.480335593,8.981614627,6.281063122,6.269519426,9.546211542,9.525770775,12.81220965,14.98394774,6.357027177,2.783649223,9.269101099,4.918710239,6.415363417,9.854087056,17.70939131,12.20859197,10.99738107,10.29655249,7.614088178,5.835136712,6.488154183,4.893013973,5.636713134,6.033572322,6.430591162,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.611116976,2.419351945,-0.40980436,0.36140003,0.938226826,4.106392454
Bolivia,BOL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.548173312,3.561471053,0.82421467,8.385943055,5.891025175,3.315876428,6.232458617,4.588484237,3.719008267,3.960561144,2.538632263,18.9777488,42.94450909,61.54596047,6.695277654,8.598920874,12.54061843,14.10381081,19.79717364,25.04871777,29.48609412,158.2833333,265.1976681,1443.397136,12338.66014,230.1052223,14.58419382,17.5233371,13.18642127,16.26794198,17.68944022,13.19920441,6.557158191,7.952207725,11.42728171,11.58020687,5.705043358,7.051126765,2.411565889,5.195405208,1.870093658,2.820757397,6.329992293,7.967709509,5.94079763,13.66367954,7.373353861,10.38118176,-2.419894328,8.777508116,14.60235424,7.100275501,5.995388369,2.049497645,-4.620602295,-1.354870536,6.061399961,3.056265908,-0.693003423,-1.854386587,3.95611964,5.124464466,-0.505250429
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,34.61780494,50.24945448,78.41743346,89.53366533,58.9331842,37.93609796,26.52894193,26.70671636,20.05178423,16.25511154,19.38458511,19.86709168,29.5803567,34.605855,33.92943674,41.20362402,45.39805621,38.22761123,54.36596003,92.14194461,100.5288771,101.0343947,131.4840451,201.7402821,248.5436591,149.1793183,206.2087087,627.9514702,1304.424209,2736.970678,416.6780939,969.0129628,1996.150247,2240.168866,93.97804306,18.45624377,7.729023412,4.924361585,8.010500883,5.606065141,8.225094321,9.798112238,14.09102152,7.752060763,7.431224753,6.774274119,6.439038087,8.778552724,7.313482746,8.423338337,8.318592219,7.943126941,7.504564533,7.846709744,7.566175012,8.103604359,3.671384513,4.493534331,4.224258869,6.472499608,13.04727088,8.570281953,4.658994759
